Course,Credit Hours,Prerequisite,Corequisite 
MATH101,4,,
ENGL101,3,,
PE  101,1,,
ICS 104,3,,
IAS 121,2,,
IAS 111,2,,
PHYS102,4,PHYS 101,
ICS 108,4,ICS 104,None
PHYS101,4,,MATH101
ENGL102,3,ENGL101,
MATH102,4,MATH101,
MATH201,3,MATH102,
MATH208,3,MATH102,
STAT319,3,MATH102,
SWE 363,3,,
ENGL214,3,ENGL102,
CGS 392,1,ENGL214,
ISE 291,3,ICS 104,
SWE 206,3,ICS 108,
ICS 202,4,ICS 108,
CHEM101,4,,
COE 292,3,ISE 291,
SWE 216,3,SWE 206,
ICS 253,3,ICS 104,
COE 233,3,ICS 104,
IAS 212,2,,
SWE 316,3,SWE 206,
SWE326,3,SWE 316,
ICS 321,3,ICS 202,
ICS 343,4,ICS 108,
ICS 344,3,ICS 343,
SWE 387,3,,
BUS 200,3,,
SWE 439,3,STAT 319;SWE316,
SWE 411,3,SWE 316;SWE 387,
SWE 412,2,SWE 411;SWE 316,
ICS 433,3,COE 233,
